,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600519.SH,20210901,1559.0,1634.99,1531.1,1622.01,1558.0,64.00999999999999,4.1085,77316.1,12370243.405
1,600519.SH,20210831,1589.8,1616.35,1555.1,1558.0,1586.0,-28.0,-1.7654,43677.09,6888080.927
2,600519.SH,20210830,1605.0,1613.0,1545.95,1586.0,1596.03,-10.029999999999973,-0.6284,51587.7,8098190.333
3,600519.SH,20210827,1589.0,1625.0,1584.1,1596.03,1595.0,1.0299999999999727,0.0646,36095.45,5791426.192
4,600519.SH,20210826,1664.99,1664.99,1594.72,1595.0,1665.02,-70.01999999999998,-4.2054,54020.37,8722233.201
5,600519.SH,20210825,1647.64,1680.87,1643.0,1665.02,1625.18,39.83999999999992,2.4514,54238.9,9037626.406
6,600519.SH,20210824,1575.0,1642.55,1565.77,1625.18,1570.19,54.99000000000001,3.5021,72594.47,11703813.764
7,600519.SH,20210823,1537.88,1599.0,1536.77,1570.19,1548.0,22.190000000000055,1.4335,71597.2,11218832.883
8,600519.SH,20210820,1555.17,1597.55,1525.5,1548.0,1619.97,-71.97000000000003,-4.4427,114544.54,17825198.286
9,600519.SH,20210819,1622.22,1643.2,1600.0,1619.97,1620.0,-0.029999999999972715,-0.0019,41291.95,6682355.678
10,600519.SH,20210818,1624.66,1642.99,1600.0,1620.0,1635.0,-15.0,-0.9174,59970.26,9701556.273
11,600519.SH,20210817,1700.0,1700.0,1628.88,1635.0,1699.2,-64.20000000000005,-3.7782,61200.77,10140291.982
12,600519.SH,20210816,1696.0,1713.6,1685.08,1699.2,1700.04,-0.8399999999999181,-0.0494,28056.97,4773049.794
13,600519.SH,20210813,1690.0,1713.0,1679.0,1700.04,1690.0,10.039999999999964,0.5941,37904.52,6418412.544
14,600519.SH,20210812,1732.0,1749.0,1686.19,1690.0,1750.5,-60.5,-3.4562,47550.97,8130692.626
15,600519.SH,20210811,1780.01,1785.01,1750.01,1750.5,1799.0,-48.5,-2.6959,38662.59,6821292.779
16,600519.SH,20210810,1700.0,1802.88,1675.0,1799.0,1693.8,105.20000000000005,6.2109,83285.05,14549496.463
17,600519.SH,20210809,1651.0,1709.0,1650.0,1693.8,1671.0,22.799999999999955,1.3645,47697.75,8028155.49
18,600519.SH,20210806,1689.0,1694.01,1646.6,1671.0,1699.0,-28.0,-1.648,45686.1,7616109.615
19,600519.SH,20210805,1692.88,1745.0,1676.36,1699.0,1724.0,-25.0,-1.4501,48059.69,8177369.851
20,600519.SH,20210804,1734.06,1760.0,1718.0,1724.0,1749.3,-25.299999999999955,-1.4463,38175.49,6614683.378
21,600519.SH,20210803,1730.0,1768.99,1688.8,1749.3,1755.0,-5.7000000000000455,-0.3248,54374.75,9447823.227
22,600519.SH,20210802,1664.0,1755.98,1620.72,1755.0,1678.99,76.00999999999999,4.5271,97400.65,16515259.089
23,600519.SH,20210730,1725.0,1725.0,1657.76,1678.99,1749.79,-70.79999999999995,-4.0462,77735.89,13109725.032
24,600519.SH,20210729,1810.01,1823.0,1734.34,1749.79,1768.9,-19.110000000000127,-1.0803,63863.85,11299569.857
25,600519.SH,20210728,1703.0,1788.2,1682.12,1768.9,1712.89,56.00999999999999,3.2699,85368.84,14792470.948
26,600519.SH,20210727,1803.0,1810.0,1703.0,1712.89,1804.11,-91.2199999999998,-5.0562,86576.99,15230805.685
27,600519.SH,20210726,1879.0,1879.0,1780.0,1804.11,1900.0,-95.8900000000001,-5.0468,98619.48,17894360.803
28,600519.SH,20210723,1937.82,1937.82,1895.09,1900.0,1940.01,-40.00999999999999,-2.0624,47585.47,9057761.876
